personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
1,1,1,male,18-25,0-50k,studia,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
2,2,2,male,18-25,500k+,studia,TRUE,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,TRUE,Negat,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,RaczNegat
3,3,3,male,18-25,500k+,wyz,TRUE,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,Pozyt,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,RaczNegat
4,4,4,male,18-25,500k+,studia,TRUE,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,IDK,0zmian
5,5,5,male,18-25,500k+,sred,TRUE,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,0zmian
6,6,6,female,18-25,500k+,studia,TRUE,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,TRUE,TRUE,Negat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,RaczPozyt
7,7,7,male,18-25,wies,studia,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,IDK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,RaczPozyt
8,8,8,male,18-25,wies,studia,TRUE,8,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,8,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0zmian
9,9,9,male,18-25,500k+,studia,TRUE,9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,9,TRUE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,0zmian
10,10,10,male,18-25,500k+,sred,TRUE,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0zmian
