personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
1,1,1,male,1,0-50k,4,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3
2,2,2,male,1,500k+,4,TRUE,2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,TRUE,Negat,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,1
3,3,3,male,1,500k+,5,TRUE,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,TRUE,TRUE,Pozyt,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
4,4,4,male,1,500k+,4,TRUE,4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,IDK,2
5,5,5,male,1,500k+,2,TRUE,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,Negat,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,2
6,6,6,female,1,500k+,4,TRUE,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,TRUE,TRUE,Negat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3
7,7,7,male,1,0,4,TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,IDK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3
8,8,8,male,1,0,4,TRUE,8,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,8,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2
9,9,9,male,1,500k+,4,TRUE,9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,9,TRUE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,IDK,2
10,10,10,male,1,500k+,2,TRUE,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,TRUE,TRUE,Neutr,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2
11,11,11,male,1,500k+,4,TRUE,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,TRUE,TRUE,Pozyt,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,IDK,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,IDK,2
12,12,12,male,1,500k+,4,TRUE,12,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,12,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,IDK,3
13,13,13,male,1,500k+,4,TRUE,13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13,TRUE,FALSE,Neutr,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,IDK,1
